Subject,Condition,Session,Round,Raw_Arousal,Raw_Valence,Raw_Max_A,Raw_Min_A,Raw_Max_V,Raw_Min_V,Norm_Arousal,Norm_Valence,Norm_Max_A,Norm_Min_A,Norm_Max_V,Norm_Min_V,Move_Type,Delta_User,Delta_Agent,Agent Utility
S001,FC,2,7,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1999999999999998,-0.175,0.6
S001,FC,2,8,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.3249999999999998,0.175,0.775
S001,FC,2,9,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.2,0.575
S001,FC,2,10,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.0499999999999999,0.15,0.725
S001,FC,2,11,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1749999999999999,-0.15,0.575
S001,FC,2,12,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.15,0.175,0.75
S001,FC,2,13,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.1999999999999999,0.55
S001,FC,2,14,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.0999999999999998,0.25,0.8
S001,FC,2,15,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.1249999999999998,-0.25,0.55
S001,FC,2,16,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.2999999999999998,0.1999999999999999,0.75
S001,FC,2,17,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.3249999999999998,-0.15,0.6
S001,FC,2,18,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999999,0.15,0.75
S001,CL,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.45
S001,CL,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concession,-0.3249999999999998,0.3999999999999999,0.85
S001,CL,1,3,0.0003874358662869,-0.0043744700960814,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,0.0230559211003509,-0.3312627281879926,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,Selfish,0.3499999999999998,-0.35,0.5
S001,CL,1,4,0.0003874358662869,-0.0043744700960814,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,0.0230559211003509,-0.3312627281879926,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,Concession,-0.4249999999999998,0.2249999999999999,0.725
S001,CL,1,5,-0.0293928906321525,-0.0317336320877075,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4490924832124194,0.1436391690868224,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.2999999999999999,-0.35,0.375
S001,CL,1,6,-0.0293928906321525,-0.0317336320877075,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4490924832124194,0.1436391690868224,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.45,0.525,0.9
S001,CL,1,7,-0.0559919811785221,-0.0533725246787071,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4093806968479712,0.1180810314060851,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.425,-0.2,0.7
S001,CL,1,8,-0.0559919811785221,-0.0533725246787071,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4093806968479712,0.1180810314060851,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.2249999999999998,0.075,0.775
S001,CL,1,9,-0.0465038567781448,-0.036405511200428,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.423546232640642,0.1381211173155254,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.1999999999999998,-0.3,0.475
S001,CL,1,10,-0.0465038567781448,-0.036405511200428,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.423546232640642,0.1381211173155254,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.0749999999999998,0.3,0.775
S001,CL,1,11,0.0415549390017986,0.0467570647597312,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.555015843581945,0.2363461330983842,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.0749999999999998,-0.175,0.6
S001,CL,1,12,0.0415549390017986,0.0467570647597312,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.555015843581945,0.2363461330983842,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999998,0.175,0.775
S001,CL,1,13,-0.0098509239032864,-0.0090647442266345,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4782681577162158,0.1704138552028522,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.2,0.575
S001,CL,1,14,-0.0098509239032864,-0.0090647442266345,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4782681577162158,0.1704138552028522,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999999,0.15,0.725
S001,CL,1,15,-0.0336264558136463,-0.0414262823760509,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.442771874778294,0.1321909820079809,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.2249999999999999,-0.0999999999999999,0.625
S001,CL,1,16,-0.0336264558136463,-0.0414262823760509,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.442771874778294,0.1321909820079809,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Fortunate,0.0499999999999999,0.0749999999999999,0.7
S001,FC,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.475
S001,FC,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concession,-0.3,0.4,0.875
S001,FC,2,3,0.0322611071169376,-0.0142784798517823,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.0322611071169376,-0.0142784798517823,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.375,-0.3,0.575
S001,FC,2,4,0.0322611071169376,-0.0142784798517823,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.0322611071169376,-0.0142784798517823,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.2499999999999999,0.25,0.825
S001,FC,2,5,0.0648486614227294,-0.144621342420578,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.0648486614227294,-0.144621342420578,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.1999999999999998,-0.2999999999999999,0.525
S001,FC,2,6,0.0648486614227294,-0.144621342420578,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.0648486614227294,-0.144621342420578,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.0999999999999998,0.25,0.775
S001,FC,2,7,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1999999999999998,-0.175,0.6
S001,FC,2,8,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.3249999999999998,0.175,0.775
S001,FC,2,9,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.2,0.575
S001,FC,2,10,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.0499999999999999,0.15,0.725
S001,FC,2,11,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1749999999999999,-0.15,0.575
S001,FC,2,12,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.15,0.175,0.75
S001,FC,2,13,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.1999999999999999,0.55
S001,FC,2,14,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.0999999999999998,0.25,0.8
S001,FC,2,15,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.1249999999999998,-0.25,0.55
S001,FC,2,16,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.2999999999999998,0.1999999999999999,0.75
S001,FC,2,17,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.3249999999999998,-0.15,0.6
S001,FC,2,18,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999999,0.15,0.75
S001,CL,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.45
S001,CL,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concession,-0.3249999999999998,0.3999999999999999,0.85
S001,CL,1,3,0.0003874358662869,-0.0043744700960814,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,0.0230559211003509,-0.3312627281879926,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,Selfish,0.3499999999999998,-0.35,0.5
S001,CL,1,4,0.0003874358662869,-0.0043744700960814,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,0.0230559211003509,-0.3312627281879926,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,Concession,-0.4249999999999998,0.2249999999999999,0.725
S001,CL,1,5,-0.0293928906321525,-0.0317336320877075,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4490924832124194,0.1436391690868224,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.2999999999999999,-0.35,0.375
S001,CL,1,6,-0.0293928906321525,-0.0317336320877075,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4490924832124194,0.1436391690868224,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.45,0.525,0.9
S001,CL,1,7,-0.0559919811785221,-0.0533725246787071,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4093806968479712,0.1180810314060851,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.425,-0.2,0.7
S001,CL,1,8,-0.0559919811785221,-0.0533725246787071,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4093806968479712,0.1180810314060851,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.2249999999999998,0.075,0.775
S001,CL,1,9,-0.0465038567781448,-0.036405511200428,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.423546232640642,0.1381211173155254,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.1999999999999998,-0.3,0.475
S001,CL,1,10,-0.0465038567781448,-0.036405511200428,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.423546232640642,0.1381211173155254,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.0749999999999998,0.3,0.775
S001,CL,1,11,0.0415549390017986,0.0467570647597312,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.555015843581945,0.2363461330983842,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.0749999999999998,-0.175,0.6
S001,CL,1,12,0.0415549390017986,0.0467570647597312,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.555015843581945,0.2363461330983842,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999998,0.175,0.775
S001,CL,1,13,-0.0098509239032864,-0.0090647442266345,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4782681577162158,0.1704138552028522,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.2,0.575
S001,CL,1,14,-0.0098509239032864,-0.0090647442266345,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4782681577162158,0.1704138552028522,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999999,0.15,0.725
S001,CL,1,15,-0.0336264558136463,-0.0414262823760509,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.442771874778294,0.1321909820079809,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.2249999999999999,-0.0999999999999999,0.625
S001,CL,1,16,-0.0336264558136463,-0.0414262823760509,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.442771874778294,0.1321909820079809,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Fortunate,0.0499999999999999,0.0749999999999999,0.7
S001,FC,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.475
S001,FC,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concession,-0.3,0.4,0.875
S001,FC,2,3,0.0322611071169376,-0.0142784798517823,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.0322611071169376,-0.0142784798517823,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.375,-0.3,0.575
S001,FC,2,4,0.0322611071169376,-0.0142784798517823,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.0322611071169376,-0.0142784798517823,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.2499999999999999,0.25,0.825
S001,FC,2,5,0.0648486614227294,-0.144621342420578,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.0648486614227294,-0.144621342420578,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.1999999999999998,-0.2999999999999999,0.525
S001,FC,2,6,0.0648486614227294,-0.144621342420578,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.0648486614227294,-0.144621342420578,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.0999999999999998,0.25,0.775
S001,FC,2,7,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1999999999999998,-0.175,0.6
S001,FC,2,8,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.2168367356061935,-0.180964857339859,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.3249999999999998,0.175,0.775
S001,FC,2,9,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.2,0.575
S001,FC,2,10,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0656467303633689,-0.1134638935327529,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.0499999999999999,0.15,0.725
S001,FC,2,11,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Selfish,0.1749999999999999,-0.15,0.575
S001,FC,2,12,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,0.0629668310284614,0.0900274589657783,0.4337462186813354,-1.0,0.6933074593544006,-1.0,Concession,-0.15,0.175,0.75
S001,FC,2,13,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.1999999999999999,0.55
S001,FC,2,14,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.2661212682723999,-0.0967877432703971,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.0999999999999998,0.25,0.8
S001,FC,2,15,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.1249999999999998,-0.25,0.55
S001,FC,2,16,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,0.0835794359445571,-0.0807708352804184,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.2999999999999998,0.1999999999999999,0.75
S001,FC,2,17,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Selfish,0.3249999999999998,-0.15,0.6
S001,FC,2,18,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,-0.0173131301999092,0.0541090704500675,0.4466914534568786,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999999,0.15,0.75
S003,FC,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.525
S003,FC,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concession,-0.3500000000000001,0.35,0.875
S003,FC,1,3,0.1160867661237716,-0.1875808835029602,0.565696656703949,-0.1716920584440231,0.5541753768920898,-0.5698886513710022,0.1160867661237716,-0.1875808835029602,0.565696656703949,-0.1716920584440231,0.5541753768920898,-0.5698886513710022,Selfish,0.2249999999999999,-0.5,0.375
S003,FC,1,4,0.1160867661237716,-0.1875808835029602,0.565696656703949,-0.1716920584440231,0.5541753768920898,-0.5698886513710022,0.1160867661237716,-0.1875808835029602,0.565696656703949,-0.1716920584440231,0.5541753768920898,-0.5698886513710022,Concession,-0.2249999999999999,0.5,0.875
S003,FC,1,5,0.0342236198484897,-0.0126036321744322,0.565696656703949,-0.3497691750526428,0.5541753768920898,-0.5698886513710022,0.0342236198484897,-0.0126036321744322,0.565696656703949,-0.3497691750526428,0.5541753768920898,-0.5698886513710022,Selfish,0.35,-0.175,0.7
S003,FC,1,6,0.0342236198484897,-0.0126036321744322,0.565696656703949,-0.3497691750526428,0.5541753768920898,-0.5698886513710022,0.0342236198484897,-0.0126036321744322,0.565696656703949,-0.3497691750526428,0.5541753768920898,-0.5698886513710022,Concession,-0.0499999999999999,0.1,0.8
S003,FC,1,7,0.0421481654047966,-0.0274296719580888,0.565696656703949,-0.3497691750526428,0.5541753768920898,-0.5698886513710022,0.0421481654047966,-0.0274296719580888,0.565696656703949,-0.3497691750526428,0.5541753768920898,-0.5698886513710022,Selfish,0.0249999999999999,-0.15,0.65
S003,FC,1,8,0.0421481654047966,-0.0274296719580888,0.565696656703949,-0.3497691750526428,0.5541753768920898,-0.5698886513710022,0.0421481654047966,-0.0274296719580888,0.565696656703949,-0.3497691750526428,0.5541753768920898,-0.5698886513710022,Concession,-0.1999999999999998,0.125,0.775
S003,FC,1,9,-0.1993329524993896,0.0809983387589454,0.565696656703949,-0.5678347945213318,0.5541753768920898,-0.5698886513710022,-0.1993329524993896,0.0809983387589454,0.565696656703949,-0.5678347945213318,0.5541753768920898,-0.5698886513710022,Selfish,0.1499999999999998,-0.175,0.6
S003,FC,1,10,-0.1993329524993896,0.0809983387589454,0.565696656703949,-0.5678347945213318,0.5541753768920898,-0.5698886513710022,-0.1993329524993896,0.0809983387589454,0.565696656703949,-0.5678347945213318,0.5541753768920898,-0.5698886513710022,Concession,-0.0499999999999998,0.0999999999999999,0.7
